coefficient_name,value,constrain
joint_taxi_ASC_auto_sufficient_othdiscr,-27.68892097,T
joint_tnc_single_ASC_no_auto_othdiscr,-11.28031445,T
joint_tnc_single_ASC_auto_deficient_othdiscr,-18.38170815,T
joint_tnc_single_ASC_auto_sufficient_othdiscr,-26.93792725,T
joint_tnc_shared_ASC_no_auto_othdiscr,-9.982746124,T
joint_tnc_shared_ASC_auto_deficient_othdiscr,-18.49534416,T
joint_tnc_shared_ASC_auto_sufficient_othdiscr,-28.91906166,T
local_bus_ASC_othdiscr,3.3481569290161133,T
walk_light_rail_ASC_othdiscr,0.44430574774742126,T
drive_light_rail_ASC_othdiscr,-5.924533844,T
walk_ferry_ASC_othdiscr,-14.27967453,T
drive_ferry_ASC_othdiscr,23.35370635986328,T
express_bus_ASC_othdiscr,2.0631940364837646,T
heavy_rail_ASC_othdiscr,1.9685605764389038,T
commuter_rail_ASC_othdiscr,-2.570244074,T
walk_transit_CBD_ASC_othdiscr,-0.455602974,T
drive_transit_CBD_ASC_othdiscr,-28.11770821,T
coef_topology_walk_multiplier_othmaint,15,T
coef_topology_bike_multiplier_othmaint,20,T
coef_topology_trn_multiplier_othmaint,2.200000047683716,T
coef_age16p_sr_multiplier_othmaint,-1.417131424,T
taxi_ASC_no_auto_othmaint,-14.25447369,T
taxi_ASC_auto_deficient_othmaint,-12.70750999,T
taxi_ASC_auto_sufficient_othmaint,-6.074826717,T
tnc_single_ASC_no_auto_othmaint,-5.400579453,T
tnc_single_ASC_auto_deficient_othmaint,-10.36143494,T
tnc_single_ASC_auto_sufficient_othmaint,-3.747652054,T
tnc_shared_ASC_no_auto_othmaint,-7.20652914,T
tnc_shared_ASC_auto_deficient_othmaint,-15.14283276,T
tnc_shared_ASC_auto_sufficient_othmaint,-11.39566994,T
joint_walk_ASC_no_auto_othmaint,-3.203843832,T
joint_walk_ASC_auto_deficient_othmaint,-14.07025433,T
joint_walk_ASC_auto_sufficient_othmaint,-25.66974449,T
joint_bike_ASC_no_auto_othmaint,-12.50366879,T
joint_bike_ASC_auto_deficient_othmaint,-8.663804054,T
joint_bike_ASC_auto_sufficient_othmaint,-30.58777046,T
joint_sr3p_ASC_no_auto_othmaint,8.014094352722168,T
joint_sr3p_ASC_auto_deficient_othmaint,-16.58605957,T
